cust_id,age_band,res_area,nbask,nitem,spend,nprodid,nprodcat,ipb_max,ipb_med,ipb_min,spb_max,spb_med,spb_min,prodctpb_max,prodctpb_med,prodctpb_min,dur_max,dur_med,dur_min,popcat_nbaskA,popcat_nbaskB,popcat_nbaskC,popcat_nbaskD,popcat_nbaskE,popcat_sizeA,popcat_sizeB,popcat_sizeC,popcat_sizeD,popcat_sizeE,popid_nbaskA,popid_nbaskB,popid_nbaskC,popid_nbaskD,popid_nbaskE,prodpriceA,prodpriceB,prodpriceC,prodpriceD,prodpriceE
00009218,5,2,16,20,1246,16,9,18,10,2,1044,623,202,9,5,1,3,3,3,0,0,0,1,15,0,0,1,5,10,0,0,1,1,14,10,3,3,0,0
00010801,4,1,86,96,8035,73,55,15,5,1,945,495.5,89,10,4.5,1,20,7,1,0,0,1,9,76,0,3,4,18,61,0,1,7,13,65,32,19,21,14,0
00011235,11,2,28,29,4579,28,25,10,6,3,1527,906,425,9,6,2,62,17.5,8,0,0,1,2,25,0,0,2,4,22,1,0,2,4,21,3,10,6,5,4
00011914,4,4,20,29,3632,18,17,13,4,2,1572,552,202,10,2,2,53,13,8,0,1,0,1,18,1,0,3,5,11,0,0,0,1,19,6,4,5,3,2
00012249,11,2,41,47,5008,40,30,18,17,12,1721,1712,1575,13,10,9,46,41,36,0,0,3,5,33,0,0,7,12,22,0,4,5,6,26,16,9,10,5,1
00013062,11,1,12,13,1776,12,12,9,6.5,4,1001,888,775,9,6,3,47,47,47,0,0,0,0,12,1,1,0,1,9,0,0,0,0,12,3,5,1,2,1
00013697,7,5,66,78,8667,61,44,30,24,24,3326,3217,2124,19,18,18,38,34,30,0,0,1,1,64,2,0,9,18,37,0,0,0,2,64,22,25,13,3,3
00014762,4,6,35,42,6724,32,27,22,21,20,3449,3362,3275,18,15,12,70,70,70,0,0,0,2,33,0,0,2,6,27,0,0,4,7,24,4,12,9,6,4
00015172,6,4,7,14,3903,7,6,8,7,6,2268,1951.5,1635,5,3,1,31,31,31,0,1,0,1,5,1,0,0,3,3,0,0,0,1,6,1,0,5,0,1
00015424,4,2,14,23,8950,14,12,14,6,3,5394,1886,1670,8,3,1,37,25.5,14,0,0,0,1,13,0,0,1,2,11,0,0,0,3,11,3,4,4,0,3
00016766,6,2,10,16,1021,9,8,7,2,1,526,119,36,5,1,1,30,25.5,21,0,0,0,0,10,1,0,2,5,2,0,0,0,0,10,4,2,4,0,0
00018173,2,2,100,117,22416,91,73,13,4,1,7391,299,78,9,2,1,15,3,1,0,2,8,10,80,3,4,9,21,63,1,2,7,14,76,47,24,16,7,6
00018333,8,1,4,11,909,4,2,9,5.5,2,513,454.5,396,1,1,1,68,68,68,0,0,0,0,4,0,0,0,3,1,0,0,0,0,4,3,0,0,1,0
00018524,4,1,48,80,6895,44,30,24,8,4,1634,924,228,8,4,2,22,2,1,0,0,0,2,46,1,0,7,12,28,0,0,0,3,45,25,15,5,3,0
00018821,4,1,9,17,4588,9,9,16,8.5,1,4473,2294,115,8,4.5,1,22,22,22,0,0,0,1,8,0,0,2,1,6,0,0,1,1,7,4,2,1,1,1
00019484,5,7,13,27,2032,13,9,17,13.5,10,1060,1016,972,7,4.5,2,1,1,1,0,0,0,2,11,3,1,0,0,9,0,0,0,1,12,10,3,0,0,0
00019545,7,8,19,34,4294,19,17,19,12,3,2609,1322,363,10,4,3,34,24.5,15,0,0,0,5,14,0,0,1,2,16,0,1,3,2,13,5,2,11,1,0
00019750,6,1,25,30,1602,25,19,11,8.5,2,818,374,36,7,6,1,41,22,21,0,0,0,0,25,1,0,2,8,14,0,0,0,1,24,14,7,3,1,0
00019873,4,1,30,47,11232,28,23,15,11,1,4870,1119,404,8,7,1,31,27,22,0,0,1,2,27,1,0,5,3,21,0,0,1,2,27,12,5,2,7,4
00019897,5,1,20,27,4680,18,16,15,10,2,2710,1629,341,10,6,2,21,12,3,0,0,0,2,18,2,0,2,1,15,0,0,0,2,18,6,4,4,3,3
00019903,5,1,46,53,7277,45,35,27,11.5,3,4656,1170,281,19,9,3,32,27,16,0,0,1,5,40,1,0,6,8,31,2,1,2,5,36,15,11,5,9,6
00020077,5,8,29,40,2971,27,24,20,18,2,1484,1277,210,13,11,2,70,43.5,17,0,1,0,1,27,1,1,2,11,14,0,1,1,1,26,10,10,6,2,1
00020220,5,2,206,257,28905,164,109,29,19,1,7285,1556,50,21,11,1,21,4,1,0,0,5,23,178,2,1,16,28,159,0,2,10,37,157,86,76,19,15,10
00020459,5,3,1241,1595,274549,1029,404,115,19.5,2,26386,2278,32,73,12.5,1,7,2,1,3,15,34,91,1098,25,40,92,237,847,7,33,55,139,1007,428,330,248,158,77
00020596,2,2,68,75,10460,64,53,22,5.5,2,3693,508.5,180,18,5,1,20,12,1,0,1,3,8,56,0,2,9,10,47,0,3,2,5,58,23,23,10,6,6
00020695,4,2,76,82,4077,62,46,11,5,1,549,230,19,8,4,1,19,4.5,2,0,0,1,4,71,0,2,10,12,52,0,0,0,5,71,50,15,10,1,0
00020756,6,2,2,3,1175,2,2,2,1.5,1,899,587.5,276,1,1,1,9,9,9,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1
00020794,5,1,156,200,22659,140,103,68,28,3,11277,2645,196,34,20,3,29,20.5,5,0,2,5,14,135,4,3,16,37,96,2,2,12,27,113,55,54,26,18,3
00020800,4,1,59,91,22480,54,37,22,14,4,6570,2388,728,11,8,3,37,4.5,4,0,0,5,6,48,0,0,10,10,39,0,3,4,9,43,15,16,11,14,3
00020817,7,1,17,17,3913,17,15,9,3,2,3087,283.5,259,8,3,1,3,2,2,0,0,1,7,9,0,0,0,5,12,0,3,7,1,6,3,7,0,3,4
00020848,9,1,6,13,1544,6,5,6,2,1,1044,139,36,2,1,1,48,31,5,0,0,0,0,6,0,0,1,1,4,1,0,0,1,4,4,0,1,1,0
00020879,4,2,15,18,1594,14,14,5,4,1,654,355,35,5,3,1,69,13.5,2,0,0,0,1,14,0,0,0,4,11,0,0,1,3,11,7,4,3,1,0
00021128,3,1,29,35,9616,27,24,13,9.5,3,5148,2123.5,221,12,6.5,3,49,26,1,0,0,0,2,27,0,0,4,4,21,0,0,1,4,24,7,7,8,4,3
00021203,6,6,24,39,7239,21,17,15,12,12,3310,2614,1315,9,7,5,29,28.5,28,0,1,0,0,23,0,1,3,6,14,0,2,0,1,21,7,7,7,2,1
00021234,5,8,10,19,2507,10,9,15,9.5,4,1958,1253.5,549,7,4.5,2,62,62,62,0,0,0,1,9,0,0,1,2,7,0,0,2,1,7,5,3,1,0,1
00021432,5,1,8,10,623,8,8,8,5,2,515,311.5,108,6,4,2,34,34,34,0,0,0,0,8,0,0,0,3,5,0,0,1,1,6,4,3,1,0,0
00021449,6,1,121,163,22457,99,59,47,14.5,4,5626,1479.5,235,15,8,2,21,7,3,0,0,1,17,103,2,2,8,29,80,0,7,10,17,87,51,19,21,19,11
00021470,8,1,8,13,2576,8,8,8,6.5,5,1455,1288,1121,5,4,3,66,66,66,0,0,1,1,6,0,0,3,2,3,0,0,0,1,7,1,2,2,2,1
00021593,6,1,21,29,3218,21,18,15,14.5,14,1951,1609,1267,10,9,8,13,13,13,0,0,1,1,19,1,1,1,3,15,0,0,0,0,21,5,9,3,4,0
00021647,5,1,11,12,711,11,11,7,6,5,450,355.5,261,6,5.5,5,77,77,77,0,0,0,2,9,0,0,3,5,3,0,0,0,0,11,3,6,2,0,0
00021678,5,1,2,10,8892,2,2,8,5,2,8832,4446,60,1,1,1,97,97,97,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0
00021951,5,2,120,151,22114,105,83,26,14,5,9676,1110,357,21,11,5,31,7.5,1,0,1,2,9,108,5,3,6,23,83,0,2,5,24,89,36,38,26,11,9
00022149,3,2,28,32,1971,26,18,22,16,10,1229,985.5,742,12,10,8,57,57,57,0,0,1,1,26,2,0,0,0,26,0,0,2,7,19,15,9,4,0,0
00022163,5,6,21,29,2807,19,17,21,14.5,8,1881,1403.5,926,14,9.5,5,28,28,28,0,0,1,0,20,0,0,2,3,16,0,1,3,2,15,7,8,3,3,0
00022514,4,8,6,13,7366,6,6,6,3,1,7164,91.5,19,3,1,1,67,15,3,0,0,0,0,6,0,1,1,1,3,0,0,0,0,6,4,1,0,0,1
00022590,3,1,7,11,494,7,6,8,5.5,3,413,247,81,5,3,1,41,41,41,0,0,0,0,7,0,0,1,1,5,0,0,0,0,7,5,2,0,0,0
00022729,6,1,33,40,6609,33,30,33,5,2,5635,736,238,23,5,2,70,55.5,41,0,0,0,6,27,0,1,3,6,23,0,1,5,7,20,6,9,8,6,4
00022736,4,8,41,60,16617,34,32,17,3.5,1,8464,435.5,64,6,3,1,18,9,1,0,0,4,4,33,0,2,4,11,24,0,0,7,13,21,10,12,5,7,7
00022927,8,1,2,3,179,2,2,2,1.5,1,119,89.5,60,1,1,1,71,71,71,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0
00022934,6,1,35,42,4932,33,29,11,4,1,2716,266,25,8,3,1,38,9,2,0,0,0,1,34,0,1,2,9,23,0,1,0,1,33,20,10,2,1,2
00022996,3,1,9,13,3368,9,7,6,4,3,2723,363,282,3,3,1,70,46.5,23,0,0,0,1,8,0,0,1,0,8,0,0,3,2,4,1,6,1,0,1
00023078,3,1,136,155,20405,116,81,19,10.5,1,2770,1592.5,168,15,7,1,20,5,1,1,0,2,11,122,2,0,9,19,106,0,4,8,14,110,44,41,21,19,11
00023146,2,1,11,15,919,11,9,7,6,2,516,202,201,5,4,1,7,4,1,0,0,0,1,10,1,0,0,3,7,0,0,0,0,11,8,2,0,1,0
00023207,7,2,16,20,2493,16,13,10,3,2,1305,490,85,8,2,1,42,32,2,0,0,0,1,15,0,1,2,3,10,0,0,0,1,15,8,6,0,2,0
00023245,7,1,13,15,722,13,9,8,6,1,298,294,130,5,5,1,26,23.5,21,0,0,0,0,13,1,0,0,6,6,0,0,0,1,12,9,2,2,0,0
00023474,3,2,24,24,1362,24,20,8,4,1,403,331,88,8,4,1,46,33,4,0,0,0,3,21,2,0,2,3,17,0,1,0,3,20,13,6,3,2,0
00023672,4,8,47,52,7527,46,42,19,11,2,2874,1650,448,18,10,2,31,13.5,10,1,0,2,4,40,1,1,3,9,33,0,3,5,8,31,11,7,18,5,6
00023771,10,1,22,25,1870,22,20,8,7.5,2,850,428,164,7,5.5,2,48,28,5,0,0,0,3,19,1,1,1,6,13,1,1,1,0,19,6,9,7,0,0
00023795,8,1,120,138,15325,106,69,22,4,1,4384,273,20,15,3.5,1,30,3,1,0,0,1,2,117,0,2,6,28,84,0,3,5,10,102,58,29,16,11,6
00023801,7,1,9,14,3927,9,9,6,5,3,2964,490,473,5,2,2,35,22,9,0,0,0,0,9,0,1,1,1,6,1,0,0,0,8,0,1,7,0,1
00023863,4,1,33,49,8764,28,21,14,5,2,5584,418,64,7,4,1,44,16,3,0,0,1,0,32,5,2,0,4,22,0,1,0,1,31,21,4,5,1,2
00023917,6,2,55,78,10403,47,36,27,10,5,3865,904.5,491,14,7.5,2,26,14,4,1,0,2,4,48,3,1,5,14,32,0,0,2,7,46,33,13,2,4,3
00024259,5,1,41,55,3819,40,31,24,5.5,1,1155,639.5,74,11,4,1,24,14,1,0,0,1,4,36,2,1,2,11,25,0,2,1,7,31,21,12,4,4,0
00024501,4,2,19,22,4075,18,15,15,4,3,1706,1671,698,10,4,2,48,35.5,23,0,0,0,2,17,0,1,2,4,12,0,0,1,2,16,3,6,2,5,3
00024518,4,6,28,37,4289,28,27,23,18.5,14,3205,2144.5,1084,18,13.5,9,91,91,91,0,0,0,6,22,1,2,2,5,18,0,1,0,2,25,10,7,5,3,3
00024532,6,2,52,59,4094,37,27,10,6,1,772,422.5,125,8,4,1,33,10,4,0,0,0,2,50,0,0,4,8,40,0,0,2,7,43,24,12,14,2,0
00024730,2,1,5,5,1033,5,5,2,1,1,454,247,85,2,1,1,46,13,1,0,1,0,0,4,0,0,1,0,4,0,1,0,0,4,0,2,1,0,2
00024907,4,2,6,6,574,6,6,5,3,1,289,287,285,5,3,1,2,2,2,0,0,1,1,4,0,0,2,1,3,0,1,1,1,3,2,2,1,0,1
00024914,6,1,4,6,255,4,4,3,2,1,115,88,52,2,1,1,59,44.5,30,0,0,0,0,4,0,0,1,1,2,0,0,0,0,4,2,2,0,0,0
00025058,4,1,43,49,7384,37,30,16,6.5,2,3654,945.5,282,13,5,1,40,7,2,0,0,1,3,39,0,1,6,8,28,0,2,0,7,34,15,12,9,2,5
00025096,4,2,6,22,9055,6,6,6,3.5,1,5940,396,19,1,1,1,25,21,8,0,0,0,0,6,1,0,0,3,2,0,0,0,0,6,2,2,1,0,1
00025300,5,3,4,5,180,4,3,4,2.5,1,161,90,19,2,1.5,1,11,11,11,0,0,0,0,4,0,0,1,0,3,0,0,0,1,3,3,1,0,0,0
00025324,4,1,20,26,3295,20,20,12,5.5,3,1637,678,302,10,3.5,3,54,37,4,1,0,0,3,16,1,0,2,10,7,1,1,0,2,16,3,7,5,4,1
00025362,5,2,36,45,5265,36,26,25,15,5,3187,1808,270,13,11,5,57,38.5,20,0,0,1,3,32,0,3,4,8,21,1,0,1,2,32,7,13,12,4,0
00025386,2,1,32,36,3800,31,23,19,7.5,2,1903,854.5,188,16,5,1,47,33,13,0,0,0,1,31,0,0,3,4,25,0,1,0,4,27,7,12,6,7,0
00025454,4,3,25,32,2153,25,20,17,16,15,1356,1076.5,797,10,10,10,10,10,10,0,0,2,2,21,0,1,3,7,14,0,1,0,8,16,17,3,4,1,0
00025515,6,1,3,6,148,2,2,4,3,2,88,74,60,2,1.5,1,102,102,102,0,0,0,0,3,1,0,0,2,0,0,0,0,0,3,3,0,0,0,0
00025539,3,1,15,38,9428,15,13,29,4,1,7949,694,91,8,2,1,55,16,5,0,2,4,0,9,2,1,1,3,8,0,3,2,2,8,3,4,4,3,1
00025553,6,8,24,27,4890,23,17,9,7.5,3,1817,1184,705,7,5,2,69,18,11,0,2,1,1,20,1,1,3,0,19,1,4,2,3,14,7,4,2,5,6
00025577,2,1,23,32,4882,22,15,18,2,1,4418,36,13,8,1,1,55,22.5,5,0,0,0,0,23,0,0,2,9,12,0,0,0,4,19,12,4,4,3,0
00025683,5,2,109,141,12964,79,51,20,3,1,6808,133,25,9,2,1,8,3,1,0,1,1,3,104,2,2,7,37,61,0,0,3,4,102,75,23,7,4,0
00025805,3,1,65,70,5709,62,54,15,6,3,1179,593,86,13,6,2,41,14.5,2,0,0,1,14,50,1,3,3,9,49,2,3,3,13,44,26,19,11,6,3
00025973,5,1,72,81,12453,58,45,11,5,1,1766,870,43,8,4,1,25,5,1,0,1,3,5,63,4,0,7,13,48,0,4,1,10,57,28,14,12,3,15
00026000,7,1,24,45,28815,20,16,13,8,6,14724,2723,2005,7,5,1,57,17,11,0,1,0,0,23,0,1,0,3,20,0,1,0,3,20,8,3,1,6,6
00026031,4,2,6,7,346,6,4,4,3.5,3,230,173,116,2,2,2,64,64,64,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,4,1,1,0,0
00026062,5,1,43,52,3595,40,33,11,3,1,556,237,16,8,2,1,26,5.5,1,0,0,0,6,37,3,0,7,10,23,0,0,1,4,38,24,8,7,3,1
00026123,6,1,29,55,7932,29,24,45,27.5,10,6455,3966,1477,19,12,5,4,4,4,0,0,0,2,27,1,0,4,8,16,0,0,0,3,26,15,7,3,4,0
00026192,5,2,60,79,8920,56,46,37,7,2,3378,1433,32,24,4,1,22,13,2,0,0,1,4,55,5,1,5,9,40,1,3,1,7,48,26,14,15,2,3
00026260,6,2,31,41,5324,31,29,25,8,8,3772,969,583,14,8,7,39,20,1,0,0,1,8,22,1,2,4,9,15,1,3,2,6,19,8,10,8,4,1
00026307,4,1,53,55,5370,51,43,28,16,11,2635,1768,967,25,13,10,29,28.5,28,0,0,0,5,48,0,2,2,10,39,0,1,5,7,40,13,17,15,7,1
00026321,5,1,21,27,2123,18,16,4,2.5,2,396,194,60,3,2,1,28,7,2,0,0,0,0,21,0,3,1,7,10,0,0,0,0,21,7,7,3,4,0
00026468,6,2,23,26,4029,21,20,12,9,5,2246,1186,597,9,9,4,57,46,35,0,1,1,5,16,0,0,1,3,19,0,2,6,7,8,5,6,3,7,2
00026499,7,1,32,35,2784,24,21,7,7,1,691,493,115,7,5.5,1,45,12,6,0,0,0,2,30,0,1,2,8,21,0,0,0,4,28,11,10,8,3,0
00026550,4,2,119,174,14536,111,71,31,12,3,2505,1008,186,15,8,3,31,7,2,0,7,5,14,93,6,1,9,16,87,2,4,9,20,84,63,30,18,8,0
00026604,7,3,5,7,811,5,5,5,3.5,2,573,405.5,238,3,2.5,2,4,4,4,0,0,0,0,5,0,0,0,2,3,0,0,0,1,4,2,0,2,1,0
00026666,8,8,20,31,3782,19,17,14,4,1,1592,609,128,7,3,1,65,4,1,0,0,1,1,18,1,1,2,2,14,0,0,2,1,17,7,2,8,2,1
00026758,10,8,4,7,967,4,4,4,3.5,3,752,483.5,215,2,2,2,94,94,94,0,0,0,1,3,0,1,0,1,2,0,1,0,0,3,1,0,3,0,0
00026789,5,1,37,48,4152,36,26,25,24,23,2329,2076,1823,15,14,13,33,33,33,0,1,0,0,36,3,2,4,8,20,0,0,2,2,33,12,15,4,5,1
00026925,6,1,57,97,14538,54,45,64,15,3,12533,915,175,27,10,3,45,25,23,0,1,0,6,50,2,4,2,12,37,0,0,1,6,50,29,14,10,4,0
00027113,7,2,13,16,1577,13,12,12,8,4,1045,788.5,532,9,6,3,84,84,84,0,0,0,1,12,1,1,0,2,9,0,0,0,4,9,3,7,1,1,1
00027199,10,1,21,32,2638,19,18,10,1,1,776,260,35,6,1,1,30,7.5,3,0,0,0,2,19,2,0,2,4,13,0,1,1,2,17,11,6,0,2,2
00027243,7,1,75,98,8280,68,33,28,10,4,2234,1179.5,144,11,5.5,2,22,11,1,0,0,0,1,74,0,1,1,11,62,0,2,2,0,71,39,19,14,2,1
00027298,8,8,14,22,2480,14,12,12,7,3,1209,680,591,5,4,3,58,46,34,0,2,3,3,6,2,1,4,1,6,1,2,3,3,5,7,2,0,2,3
00027304,6,1,16,20,2055,16,15,10,5,5,1173,556,326,8,4,3,26,14,2,0,1,0,2,13,2,0,3,2,9,0,0,1,3,12,6,4,3,3,0
00027335,5,1,42,51,4309,29,13,12,4.5,2,935,327.5,160,7,3,2,28,8,4,0,0,0,1,41,0,0,1,5,36,1,0,0,0,41,16,22,3,0,1
00027359,2,2,6,6,813,6,6,5,3,1,564,406.5,249,5,3,1,71,71,71,0,0,0,0,6,0,0,0,2,4,0,0,1,1,4,2,1,0,2,1
00027540,6,2,45,71,9904,43,34,42,23,6,6033,3145,726,22,13,5,51,37.5,24,0,0,0,3,42,0,2,5,6,32,0,1,0,3,41,6,23,11,3,2
00027601,10,3,36,49,4351,36,25,32,24.5,17,2608,2175.5,1743,16,14,12,75,75,75,0,0,0,2,34,0,0,4,5,27,0,1,2,7,26,14,14,5,3,0
00027632,7,1,36,63,9817,36,27,45,13,5,8686,883,248,16,9,4,25,21,17,0,0,1,2,33,0,0,1,9,26,0,2,3,6,25,14,13,5,4,0
00027908,4,1,30,50,12375,29,22,16,8,4,5150,1399,516,8,6,2,33,25,10,0,0,0,0,30,0,0,1,4,25,0,0,0,1,29,8,10,5,2,5
00027946,7,2,13,25,8137,13,7,21,12.5,4,7495,4068.5,642,4,3.5,3,70,70,70,0,0,0,1,12,0,1,0,2,10,0,0,1,1,11,2,2,3,4,2
00027953,6,3,5,9,4463,4,4,6,4.5,3,3354,2231.5,1109,3,2.5,2,19,19,19,0,0,0,1,4,1,0,0,0,4,0,0,0,0,5,1,0,0,2,2
00028127,6,6,21,25,4751,21,18,19,12.5,6,2502,2375.5,2249,17,10,3,25,25,25,0,0,0,2,19,0,0,0,4,17,1,1,2,3,14,4,3,6,6,2
00028516,3,1,27,28,2939,26,24,13,6.5,2,1817,512,98,11,6.5,2,33,10,3,0,0,0,6,21,0,1,3,10,13,0,0,0,6,21,9,7,4,5,2
00028547,5,1,81,96,24702,74,57,23,7,2,10448,648,230,14,6,1,35,8,2,0,0,4,13,64,2,3,6,25,45,1,2,4,12,62,29,27,15,6,4
00028653,3,2,9,14,499,9,7,5,3.5,2,189,139,32,2,2,1,57,3,1,0,0,0,0,9,2,1,1,2,3,0,0,0,0,9,8,1,0,0,0
00028714,6,2,11,12,967,11,10,11,6,1,920,483.5,47,9,5,1,45,45,45,0,0,0,0,11,0,0,1,2,8,0,0,1,1,9,5,2,4,0,0
00028721,3,2,19,55,52481,19,15,28,11.5,4,18909,11562,10448,7,3.5,1,40,8,3,0,0,1,4,14,0,1,0,11,7,0,0,2,2,15,5,5,1,5,3
00028738,4,1,23,24,1311,23,18,14,12,10,819,655.5,492,11,9.5,8,70,70,70,0,0,0,0,23,0,0,1,4,18,0,0,0,2,21,15,3,5,0,0
00028769,5,2,26,30,2658,25,21,16,15,14,1515,1329,1143,12,11,10,43,43,43,0,0,1,3,22,1,1,4,3,17,0,0,0,3,23,8,13,4,1,0
00028844,4,8,11,15,2423,11,10,5,3.5,3,938,589,307,4,2,2,13,10,4,0,1,0,0,10,0,0,2,4,5,0,0,0,2,9,2,2,4,2,1
00028899,2,1,16,29,6791,15,13,10,7,5,4667,804.5,515,5,3.5,2,48,20,2,0,1,0,1,14,1,0,2,3,10,0,0,1,2,13,4,5,2,2,3
00028967,7,2,22,38,4098,21,21,13,13,12,1943,1117,1038,8,7,7,26,20.5,15,0,0,2,3,17,1,3,3,3,12,0,0,1,5,16,8,8,5,1,0
00029018,2,2,32,37,2707,30,27,24,3,1,1527,280.5,38,18,2.5,1,43,22,1,0,0,0,0,32,0,1,4,7,20,0,0,0,3,29,16,6,7,3,0
00029117,10,1,3,8,400,2,2,4,2,2,288,60,52,1,1,1,59,52,45,0,0,0,0,3,1,0,0,2,0,0,0,0,0,3,3,0,0,0,0
00029209,7,1,19,25,1134,19,18,9,6,4,590,196.5,151,5,4.5,4,31,12,12,0,0,0,3,16,2,1,0,8,8,0,0,0,1,18,13,6,0,0,0
00029223,8,2,23,29,3125,22,17,21,5,3,1550,1305,270,15,2,1,28,25.5,23,0,0,0,1,22,0,0,1,8,14,0,0,1,2,20,12,2,5,3,1
00029377,6,8,23,26,3477,19,17,5,2,1,1071,282,22,4,2,1,34,8.5,1,0,0,1,5,17,1,0,2,9,11,1,1,3,8,10,4,7,7,2,3
00029421,6,2,107,130,16891,94,69,16,6,2,2700,760,229,11,5,2,17,6.5,1,1,0,4,8,94,3,2,7,19,76,2,5,5,15,80,36,41,13,10,7
00029599,5,2,11,15,1475,11,11,7,7,1,840,525,110,5,5,1,68,42,16,0,0,0,0,11,0,0,1,0,10,0,0,1,0,10,3,3,5,0,0
00029964,4,6,21,51,11358,20,15,16,8,3,4980,1554,171,5,3,1,56,17,7,0,0,0,2,19,1,1,1,4,14,0,0,0,0,21,9,6,5,1,0
00030045,3,1,20,37,6830,20,19,16,12,9,2920,2257,1653,9,6,4,66,34,2,0,0,1,4,15,0,0,5,4,11,1,0,1,5,13,5,11,0,3,1
00030106,4,7,40,47,8862,38,33,19,19,9,6291,1787,784,14,14,8,35,24.5,14,0,1,2,5,32,0,1,9,5,25,2,0,3,8,27,16,7,8,5,4
00030267,4,1,49,56,3228,41,25,17,16,7,1094,915.5,303,12,8.5,4,47,15,1,0,0,0,1,48,0,0,2,3,44,0,1,2,5,41,34,10,2,3,0
00030281,5,1,114,132,11266,92,47,18,9,3,2522,670,190,13,4,1,24,5.5,1,0,0,0,2,112,1,0,1,15,97,0,1,1,15,97,71,31,6,3,3
00030502,5,1,25,30,2996,23,22,11,10,9,1232,1070,694,8,8,8,59,36,13,0,0,0,1,24,0,0,2,9,14,0,0,0,0,25,9,3,8,5,0
00030908,8,2,26,29,1775,18,14,7,4,2,418,295,101,6,3,2,83,2.5,1,0,0,0,0,26,0,0,3,3,20,0,0,0,1,25,6,16,1,3,0
00032100,7,1,149,162,10278,132,81,19,7,2,1163,521,20,15,5,2,21,3.5,1,0,0,1,7,141,5,6,14,24,100,0,2,1,12,134,71,53,20,5,0
00032674,4,2,60,86,11609,59,45,23,14.5,1,3585,1723,1190,18,4.5,1,37,22,7,0,2,6,7,45,4,1,5,9,41,0,2,3,8,47,24,14,11,7,4
00032827,6,1,154,168,14957,126,86,17,9,3,2544,670,132,14,8,2,15,6,1,1,1,4,10,138,6,1,16,22,109,0,6,4,14,130,76,47,11,16,4
00032896,6,1,42,51,5932,39,34,14,4,1,1620,418,32,14,2.5,1,43,8,1,0,0,1,2,39,0,1,1,14,26,0,0,1,7,34,12,8,15,5,2
00033169,9,1,14,22,6756,7,6,4,2,1,1596,664,66,3,1,1,21,13,2,0,0,0,0,14,0,0,0,0,14,0,0,1,0,13,0,5,0,8,1
